MATCH_ID,RANK_PLAYED_AT,T1P1NAME,T1P1RANK,T1P1CHAMPION,T1P1SPELL1,T1P1SPELL2,T1P1SUMMONERLEVEL,T1P1WINS,T1P1LOSSES,T1P1VETERAN,T1P1HOTSTREAK,T1P2NAME,T1P2RANK,T1P2CHAMPION,T1P2SPELL1,T1P2SPELL2,T1P2SUMMONERLEVEL,T1P2WINS,T1P2LOSSES,T1P2VETERAN,T1P2HOTSTREAK,T1P3NAME,T1P3RANK,T1P3CHAMPION,T1P3SPELL1,T1P3SPELL2,T1P3SUMMONERLEVEL,T1P3WINS,T1P3LOSSES,T1P3VETERAN,T1P3HOTSTREAK,T1P4NAME,T1P4RANK,T1P4CHAMPION,T1P4SPELL1,T1P4SPELL2,T1P4SUMMONERLEVEL,T1P4WINS,T1P4LOSSES,T1P4VETERAN,T1P4HOTSTREAK,T1P5NAME,T1P5RANK,T1P5CHAMPION,T1P5SPELL1,T1P5SPELL2,T1P5SUMMONERLEVEL,T1P5WINS,T1P5LOSSES,T1P5VETERAN,T1P5HOTSTREAK,T1Kayle,T1Jax,T1Diana,T1Yasuo,T1Aphelios,T1Senna,T1Sett,T1Warwick,T1MissFortune,T1Jhin,T1Soraka,T1Renekton,T1Fizz,T1Caitlyn,T1Leona,T1Ekko,T1Zed,T1Ashe,T1Rell,T1Yorick,T1Trundle,T1Qiyana,T1Velkoz,T1Gangplank,T1MonkeyKing,T1Shyvana,T1Akshan,T1Blitzcrank,T1Irelia,T1Taric,T1Ahri,T1Samira,T1Lux,T1Volibear,T1Akali,T1Twitch,T1Garen,T1Graves,T1Sylas,T1Draven,T1TahmKench,T1Veigar,T1Brand,T1Pantheon,T1Khazix,T1Vex,T1Pyke,T1Amumu,T1Katarina,T1Vayne,T1Shaco,T1Vi,T1Kaisa,T1Morgana,T1Illaoi,T1Nunu,T1Yone,T1Jinx,T1Braum,T1Nasus,T1Aatrox,T1Evelynn,T1Janna,T1Zeri,T1Darius,T1Leblanc,T1Tristana,T1Cassiopeia,T1Riven,T1Zoe,T1Malphite,T1Lucian,T1Lulu,T1Lillia,T1Fiora,T1Urgot,T1Orianna,T1Renata,T1Sion,T1Mordekaiser,T1Sona,T1Viego,T1Viktor,T1Xayah,T1Thresh,T1AurelionSol,T1Sivir,T1Nautilus,T1Chogath,T1Galio,T1Kassadin,T1Ziggs,T1Kled,T1Vladimir,T1Teemo,T1Neeko,T1Karthus,T1Ezreal,T1Gwen,T1Kayn,T1XinZhao,T1Nocturne,T1Zyra,T1Rammus,T1Camille,T1Xerath,T1Yuumi,T1Ornn,T1Skarner,T1Annie,T1Corki,T1Karma,T1Syndra,T1Varus,T1Talon,T1Shen,T1Udyr,T1Sejuani,T1Tryndamere,T1RekSai,T1Olaf,T1Nami,T1Taliyah,T1Nidalee,T1LeeSin,T1Alistar,T1Rengar,T1Swain,T1Poppy,T1Elise,T1Kennen,T1Seraphine,T1Kalista,T2P1NAME,T2P1RANK,T2P1CHAMPION,T2P1SPELL1,T2P1SPELL2,T2P1SUMMONERLEVEL,T2P1WINS,T2P1LOSSES,T2P1VETERAN,T2P1HOTSTREAK,T2P2NAME,T2P2RANK,T2P2CHAMPION,T2P2SPELL1,T2P2SPELL2,T2P2SUMMONERLEVEL,T2P2WINS,T2P2LOSSES,T2P2VETERAN,T2P2HOTSTREAK,T2P3NAME,T2P3RANK,T2P3CHAMPION,T2P3SPELL1,T2P3SPELL2,T2P3SUMMONERLEVEL,T2P3WINS,T2P3LOSSES,T2P3VETERAN,T2P3HOTSTREAK,T2P4NAME,T2P4RANK,T2P4CHAMPION,T2P4SPELL1,T2P4SPELL2,T2P4SUMMONERLEVEL,T2P4WINS,T2P4LOSSES,T2P4VETERAN,T2P4HOTSTREAK,T2P5NAME,T2P5RANK,T2P5CHAMPION,T2P5SPELL1,T2P5SPELL2,T2P5SUMMONERLEVEL,T2P5WINS,T2P5LOSSES,T2P5VETERAN,T2P5HOTSTREAK,T2Kayle,T2Jax,T2Diana,T2Yasuo,T2Aphelios,T2Senna,T2Sett,T2Warwick,T2MissFortune,T2Jhin,T2Soraka,T2Renekton,T2Fizz,T2Caitlyn,T2Leona,T2Ekko,T2Zed,T2Ashe,T2Rell,T2Yorick,T2Trundle,T2Qiyana,T2Velkoz,T2Gangplank,T2MonkeyKing,T2Shyvana,T2Akshan,T2Blitzcrank,T2Irelia,T2Taric,T2Ahri,T2Samira,T2Lux,T2Volibear,T2Akali,T2Twitch,T2Garen,T2Graves,T2Sylas,T2Draven,T2TahmKench,T2Veigar,T2Brand,T2Pantheon,T2Khazix,T2Vex,T2Pyke,T2Amumu,T2Katarina,T2Vayne,T2Shaco,T2Vi,T2Kaisa,T2Morgana,T2Illaoi,T2Nunu,T2Yone,T2Jinx,T2Braum,T2Nasus,T2Aatrox,T2Evelynn,T2Janna,T2Zeri,T2Darius,T2Leblanc,T2Tristana,T2Cassiopeia,T2Riven,T2Zoe,T2Malphite,T2Lucian,T2Lulu,T2Lillia,T2Fiora,T2Urgot,T2Orianna,T2Renata,T2Sion,T2Mordekaiser,T2Sona,T2Viego,T2Viktor,T2Xayah,T2Thresh,T2AurelionSol,T2Sivir,T2Nautilus,T2Chogath,T2Galio,T2Kassadin,T2Ziggs,T2Kled,T2Vladimir,T2Teemo,T2Neeko,T2Karthus,T2Ezreal,T2Gwen,T2Kayn,T2XinZhao,T2Nocturne,T2Zyra,T2Rammus,T2Camille,T2Xerath,T2Yuumi,T2Ornn,T2Skarner,T2Annie,T2Corki,T2Karma,T2Syndra,T2Varus,T2Talon,T2Shen,T2Udyr,T2Sejuani,T2Tryndamere,T2RekSai,T2Olaf,T2Nami,T2Taliyah,T2Nidalee,T2LeeSin,T2Alistar,T2Rengar,T2Swain,T2Poppy,T2Elise,T2Kennen,T2Seraphine,T2Kalista,WINNINGTEAM
NA1_4286060830,IRON I,b'ThanutsSLAM',0,Jax,4,12,71,94,111,0,0,b'Kitinen',4,Diana,11,4,44,59,87,0,0,b'Titans Of Egypt ',4,Yasuo,4,14,70,44,52,0,0,b'KADENPLAYZ109',0,Aphelios,4,14,59,29,61,0,0,b'Davidc409',3,Senna,14,4,149,26,27,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'OneJerkSquirt89',2,Sett,4,14,93,129,140,0,0,b'TridraLOL',4,Warwick,4,11,39,6,22,0,0,b'drunKenshrimp',1,MissFortune,4,7,94,47,62,0,0,b'lilcaligula',3,Jhin,4,7,172,22,33,0,0,b'GALAZEUS',4,Soraka,3,4,470,136,143,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4205208416,IRON II,b'imfamous pidgeon',4,Renekton,4,14,357,434,439,0,0,b'UGGrimz',4,Warwick,4,11,37,79,97,0,0,b'Classic Mid Dif',5,Fizz,14,4,35,61,82,0,0,b'Telemund0',2,Caitlyn,4,7,116,323,345,0,0,b'Killaeri',4,Leona,4,14,40,14,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'dinglehopper69',4,Kayle,12,14,242,122,114,0,0,b'TopHatCat',5,Ekko,11,4,480,135,122,0,0,b'ItsYoBoyJJ',3,Zed,4,14,46,34,57,0,0,b'Kakito1148',2,Ashe,4,14,84,29,32,0,0,b'raindropscyn',5,Rell,3,7,256,171,155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4279013799,IRON II,b'MVGlC',6,Gangplank,12,14,308,124,135,0,0,b'RJ91770',5,MonkeyKing,11,14,197,73,64,0,0,b'SXDGHXST',4,Shyvana,4,12,46,91,109,0,0,b'LilRambe29',2,Akshan,4,14,165,63,77,0,0,b'uCDisgrace',4,Blitzcrank,4,3,90,138,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'Carth39',4,Yorick,12,4,39,24,43,0,0,b'poppyabuser',4,Trundle,4,11,130,41,58,0,0,b'Geshajufi',3,Qiyana,4,14,160,40,56,0,0,b'Fritolover84',5,Ashe,4,7,55,18,27,0,0,b'ohhboosky',3,Velkoz,14,4,70,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4283939473,IRON II,b'Oouu CassyBby',4,Yorick,12,1,719,787,796,0,0,b'phoeuria',3,Volibear,11,14,39,57,70,0,0,b'NUT N THE BUTT',4,Akali,14,4,58,30,31,0,0,b'Nightfall1257',2,Soraka,7,4,88,17,25,0,0,b'FleeDoggy',3,Twitch,12,4,230,123,137,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'SoLeee3',3,Irelia,14,4,118,37,52,0,0,b'6pawny9',1,Taric,14,11,294,435,562,0,0,b'Godfather213',6,Ahri,14,4,167,160,144,0,0,b'g\xc2\xaav',2,Samira,1,4,53,10,17,0,0,b'Yo Baby MAMA',0,Lux,4,7,64,43,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4285296208,IRON III,b'HolyDeliverance',0,Jax,3,14,420,381,406,0,0,b'WNBA YoungBoyy',0,Diana,4,11,91,202,246,0,0,b'Questamoongo',5,Veigar,12,4,131,75,79,0,0,b'Z3qio',4,Twitch,4,3,80,65,72,0,0,b'JohnWaynesHat',4,Brand,14,4,62,30,42,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'Crazyknees',1,Garen,12,4,155,55,54,0,0,b'wqqpamka',3,Graves,11,4,78,117,153,0,0,b'Teamclubpub',1,Sylas,4,14,332,84,91,0,0,b'GetSmokedTurd',1,Draven,4,7,122,237,253,0,0,b'MrMcBeefy1',5,TahmKench,4,3,314,186,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4262771046,IRON IV,b'GhstBldSharpie',3,Sett,4,14,67,109,129,0,0,b'NightS1lent',2,Amumu,11,4,67,62,50,0,0,b'Krookd2',4,Katarina,14,4,35,29,44,0,0,b'SheriffGiz69',4,Vayne,14,4,132,62,60,0,0,b'Mayormike',3,Shaco,12,4,317,114,145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'Floydflamingo',4,Pantheon,4,14,145,113,120,0,0,b'Rose4you',4,Khazix,4,11,69,24,29,0,0,b'T1 Gamayusi',3,Vex,4,12,109,57,51,0,0,b'CountEa',0,Ashe,4,7,76,7,21,0,0,b'AsunderPotato',6,Pyke,14,4,136,120,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4285613044,IRON IV,b'xXUNSANCTIONEDXx',3,Renekton,4,12,143,20,11,0,0,b'RoyalCheeks',1,Vi,4,11,76,28,52,0,0,b'BigMonLawson',3,Akali,14,4,88,14,20,0,0,b'shadow reaper1',1,Kaisa,7,4,183,234,236,0,0,b'MisterC1998',3,Morgana,4,3,89,41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'SoloYoMamaOnly',4,Illaoi,4,12,336,54,67,0,0,b'The Gas Station',4,Nunu,11,4,85,67,102,0,0,b'Hade18',1,Yone,4,14,47,58,81,0,0,b'oso\xc3\x94',4,Jinx,6,4,36,25,42,0,0,b'LeeroiJankins',0,Braum,3,4,341,154,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4285303877,IRON IV,b'STARFOXJM',4,Morgana,7,4,470,181,201,0,0,b'YouScratchedMyCD',2,Diana,11,4,329,13,27,0,0,b'oFaMouSo 69',2,Nasus,14,4,122,331,334,0,0,b'whoisViz',3,Volibear,4,7,36,13,33,0,0,b'Julianp651',4,Lux,6,3,139,54,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'GodOfDawn12',0,Aatrox,4,12,220,33,36,0,0,b'Lurk3rz',4,Evelynn,4,11,158,56,66,0,0,b'wawa hoggie 1',4,Kaisa,4,21,287,114,132,0,0,b'IxI Izzo IxI',4,Jinx,4,14,197,96,108,0,0,b'NorthernTitan',4,Janna,4,3,564,203,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4284006073,BRONZE III,b'Shushaepe',5,Sett,14,4,81,270,276,0,0,b'T2Desolation ',8,Trundle,11,4,151,112,105,0,0,b'TSHE Greed',8,Leblanc,14,4,259,53,62,0,0,b'jfl888888',8,Tristana,7,4,370,173,170,0,0,b'YokohamaYama',9,Velkoz,4,14,78,176,169,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'kdizzleleplaya',8,Yasuo,4,14,62,104,105,0,0,b'zishishui',5,Amumu,11,4,306,29,21,0,0,b'J\xc5\x93l Embiid',8,Cassiopeia,21,4,256,127,123,0,0,b'ItsZestyBoi',7,Samira,7,4,215,150,131,0,0,b'JDpurple4',8,Leona,14,4,316,85,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
